block_id, block_hash, timestamp, difficulty, transaction_hash, timestamp, sender, receiver, amount, tax
4728054, 0xf0a1b6f5ba3ee8c3d1e7666532029aeb282fa6137f3ec9f0459d0847803353f2, 2017-12-14 06:51:19, 1625700689675220, 0xcaeff2f029fc7f88ffc9d764d528eef4c7e63e28a7c6b1e8b51c1355f4e5353f, 2017-12-13 23:24:40, Kraken 4, 0x84e1fad0f5773425cb919ca39c1fbdc1bc798995, 84.18492, 0.00100831
4728061, 0x7b506954fec45e9c86e3a386f414d0fea05422e466ef42656451eecd25d42361, 2017-12-14 06:51:19, 1625698751918660, 0x6551b32c005df56cf8e023d0ad182b47286af08bd1d21c5fe682e83606e24414, 2017-12-13 23:26:27, 0x23c5f260be49f8b7af6db18c7d776dbed3a58394, 0xc87144c3fc37817b1faa60895b8624854a0ed87c, 0.1703073, 0.000483
4728059, 0x5681e9b6ef67b25efe3b678f830ddbebfbd707afa9b5ca746c23b75b97888d91, 2017-12-14 06:51:19, 1627287900193188, 0xfa4b37f9a3d7765ec3d5865ea2d28ddd8a885ed91c0737a935ad516be466dc51, 2017-12-13 23:25:37, 0xa938c7b62c167d42e6f79ea445756b124b54b594, 0x7376593337759f40cbae88ba92d339cde58867be, 0.01456556, 0.00042
4728058, 0xe9507a622710ed1dfc41e6d68edd42738c7581e04cf947ecdb4086d4c850b02d, 2017-12-14 06:51:19, 1626493713776740, 0x2c0267aed473545fe503e521938d0009e3c9637ab310945be1544e4d952244ee, 2017-12-13 23:25:33, 0x4adb435ff428cff66c9c2d3b63edc99fd4d09761, 0xf81153714dd8dd72e52faa5ae3c53525bed51653, 0.706659, 0.000483
4728057, 0xc64eea1cba89949d7319186d3880e2b15fa1c57a9cbca97f33df5c22a16f9b3a, 2017-12-14 06:51:19, 1626493713743972, 0x9708e74ceb51a2a1c89bcc21481b4d1101fb90b69db81a2c4dd60de1d5efec6d, 2017-12-13 23:25:23, 0xc587adbc24cb22d1ecaacdb96395787fee1dabf5, 0xa2e0b86ed9e019fb1e401bcc6e92711c272b5c31, 0.007, 0.000483
4728056, 0x414182c09a4293400b4db8761013a8134cd301f3615df33ed9698519c39d6cd9, 2017-12-14 06:51:19, 1624906890575876, 0x5c07ce41dafa3f828eefd852584100230a4e37e4c9860920a4567f93cfc3601d, 2017-12-13 23:25:18, 0xcbbbd2c5e00e8b2767875ae5eb6cfc333e04e934, PolyAi: AI Token, 0, 0.0005585
4728062, 0x3bdb8ad4ebf68bab3f3c02a15e78fd5099ecc1e9bb7ccb11b1a1d078f4c1a3db, 2017-12-14 06:51:19, 1625698751951428, 0x5b9b353b984289b96c60a82cfe759a365f4926a9fca9e426255bcc8837c37a1d, 2017-12-13 23:26:40, 0xf3e2d588be043543e142f34f4452d8de0b61facf, 0xefc61b12544b95e270bf108e0a336d358f9bb8f2, 1.01, 0.000441
4728060, 0x7fbefc3a418b739c422bf1b53144f41a7e206902499792606340073ae934b6f7, 2017-12-14 06:51:19, 1627287900225956, 0x4fb696e979459d1bfcbc89c033e96872dbedb802c064d0d9289ad030ede0c236, 2017-12-13 23:25:47, 0x2415e1836e1b70aac6d7134121c51a7e489d3f6f, 0xd5bbae58416471360e09150b95f30892948dcba0, 0.502, 0.00044207
4728063, 0x1a1aef430ab479e57d5506c84ac2226a6e91def3560bdb51e9a02637b14ada5a, 2017-12-14 06:51:19, 1624904953765470, 0xb7464c5a37dd12b2897b6c443f0f4b6f3289212cac80a069be6073d1a9ece1cc, 2017-12-13 23:27:11, 0x7e9ce43e776a6a73721e951577575613ca3f40f1, 0x1f9eb5ff30662626d3c7f457533f7a7c38d37e56, 6.46385977, 0.000441
4728064, 0x2ac533995a391a2fbc37e35ebc8b904fa4cea25f220447f707b7768f483df81d, 2017-12-14 06:51:19, 1624111543176283, 0x9f9150eec5abc7c0dac7a95744152b4987bf723b16dd14aeade0963089d6ea23, 2017-12-13 23:27:31, 0x83320bc47cc8757bb0ae422b8a6934995b7273d1, 0x1cdd5075d5a6b2017509f5a1a23e748cf3ce3610, 0.0235, 0.000483
